Index,Name,Frequency (MHz),Modulation,CTCSS,Delay (sec),Lockout,Priority
309,WAN-RS W-B,147.1500,nfm,none,2,unlocked,off
310,2m R Bald Mtn,146.7150,fm,none,2,unlocked,off
311,2m R Carbondale,146.7900,fm,none,2,unlocked,off
312,2m R Dunmore,147.0000,fm,none,2,unlocked,off
313,2m R Mehoopany,147.2100,fm,none,2,unlocked,off
314,2m R Scranton,147.2850,fm,none,2,unlocked,off
315,2m R Elk Mtn,147.8400,fm,none,2,unlocked,off
316,70cm R Crbondale,440.0562,fm,none,2,unlocked,off
317,70cm R Tunk,441.1500,fm,none,2,unlocked,off
318,70cm R Clrks Smt,442.5500,fm,none,2,unlocked,off
319,70cm R Scranton,448.8250,fm,none,2,unlocked,off
320,,000.0000,auto,none,2,locked,off
321,,000.0000,auto,none,2,locked,off
322,,000.0000,auto,none,2,locked,off
323,,000.0000,auto,none,2,locked,off
324,,000.0000,auto,none,2,locked,off
325,,000.0000,auto,none,2,locked,off
326,,000.0000,auto,none,2,locked,off
327,,000.0000,auto,none,2,locked,off
328,,000.0000,auto,none,2,locked,off
329,,000.0000,auto,none,2,locked,off
330,,000.0000,auto,none,2,locked,off
331,,000.0000,auto,none,2,locked,off
332,,000.0000,auto,none,2,locked,off
333,,000.0000,auto,none,2,locked,off
334,,000.0000,auto,none,2,locked,off
335,,000.0000,auto,none,2,locked,off
336,,000.0000,auto,none,2,locked,off
337,,000.0000,auto,none,2,locked,off
338,,000.0000,auto,none,2,locked,off
339,,000.0000,auto,none,2,locked,off
340,,000.0000,auto,none,2,locked,off
341,,000.0000,auto,none,2,locked,off
342,,000.0000,auto,none,2,locked,off
343,,000.0000,auto,none,2,locked,off
344,,000.0000,auto,none,2,locked,off
345,,000.0000,auto,none,2,locked,off
346,,000.0000,auto,none,2,locked,off
347,,000.0000,auto,none,2,locked,off
348,,000.0000,auto,none,2,locked,off
349,,000.0000,auto,none,2,locked,off
350,,000.0000,auto,none,2,locked,on
351,CB 1,026.9650,am,none,2,unlocked,off
352,CB 2,026.9750,am,none,2,unlocked,off
353,CB 3,026.9850,am,none,2,unlocked,off
354,CB 4 OffRoad,027.0050,am,none,2,unlocked,off
355,CB 5,027.0150,am,none,2,unlocked,off
356,CB 6 Superbowl,027.0250,am,none,2,unlocked,off
357,CB 7,027.0350,am,none,2,unlocked,off
358,CB 8,027.0550,am,none,2,unlocked,off
359,CB 9 Emergency,027.0650,am,none,2,unlocked,off
360,CB 10 Regional,027.0750,am,none,2,unlocked,off
361,CB 11,027.0850,am,none,2,unlocked,off
362,CB 12,027.1050,am,none,2,unlocked,off
363,CB 13 MarineRV,027.1150,am,none,2,unlocked,off
364,CB 14 Portable,027.1250,am,none,2,unlocked,off
365,CB 15,027.1350,am,none,2,unlocked,off
366,CB 16,027.1550,am,none,2,unlocked,off
367,CB 17 Road N/S,027.1650,am,none,2,unlocked,off
368,CB 18,027.1750,am,none,2,unlocked,off
369,CB 19 Road E/W,027.1850,am,none,2,unlocked,off
